Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
0,62.7674,39.5306,-12.4668,-11.2705,-26.0842,47.7096,13.5594,98.7487,79.3756,5.36821,-74.5048,12.3447,87.3409,-54.2894,81.5485,12.7354,6.01519,1.94403,-60.094,83.1172,
1,-90.6735,-86.523,59.8987,-66.0756,-25.5531,98.8525,-71.9718,11.4231,51.9578,-68.9261,-66.2404,-26.5175,17.246,-89.4406,2.46284,-29.5083,45.7076,37.6934,-40.4645,52.8428,
2,62.8407,-45.1765,-47.8439,5.0203,-96.9665,0.296032,-59.6728,-18.8757,-79.8761,19.2358,-70.2078,17.6122,87.9391,-89.526,-55.6078,63.3106,80.285,72.8446,-92.053,-32.9508,
3,-52.0005,35.2702,-89.9045,3.2197,26.9875,0.393689,74.0959,-44.6394,-66.8874,-97.0763,-8.005,-15.8361,-55.0829,46.379,-7.68151,43.144,40.8979,34.2692,-96.4171,-14.182,
4,79.577,98.4069,-56.3097,79.5343,-74.9016,-20.365,-52.5315,63.0116,15.7384,75.219,16.0863,43.0647,-84.0571,74.6025,-36.0088,-40.8551,90.173,-32.7555,-94.3541,50.7126,
5,-48.6984,-58.0187,-14.1942,21.7505,-76.4641,-75.3166,43.4553,-92.1262,-19.248,-15.3539,-73.1071,-75.4143,29.5816,53.5142,-7.22983,53.5142,76.6716,-37.083,97.7294,-23.6976,
6,-46.1287,-26.8838,-64.6352,29.9661,41.9477,77.0623,86.755,-6.83309,14.1636,-11.71,99.8169,3.69579,-49.4064,-88.1222,-95.3673,-83.3857,31.3211,-47.087,-68.7185,87.0235,
7,-58.3972,-88.4213,45.2132,-44.2793,69.2557,49.8215,24.3385,7.60216,-72.6981,49.028,1.2421,0.320446,75.5119,93.9634,-14.304,-31.3456,-26.3527,69.3838,87.463,47.3678,
8,-54.1246,-51.8601,-18.5705,62.2791,-31.4493,-35.5693,-74.5537,63.4449,51.5976,-50.6027,-72.3075,-6.36311,-84.2891,-51.2619,-41.1359,-51.4451,-18.3874,-91.8393,89.6664,-76.0979,
9,69.2312,-60.094,51.5976,-14.0599,40.5927,54.2405,31.5775,-31.6935,76.1589,7.87072,82.2016,-91.0886,13.8096,63.6891,91.3572,-79.3451,-8.55434,-15.421,46.9405,16.422,
10,74.9687,-11.6855,76.397,-99.4812,73.9616,-13.0772,-68.4194,27.0547,-55.5773,31.7118,38.9019,42.9304,-27.3232,-66.0024,-65.3249,9.46379,-54.9425,5.11795,55.2416,88.0001,
11,77.5384,87.8903,-19.2358,-46.5072,47.5326,-26.5175,-63.9149,59.2334,10.9348,28.367,-57.1764,4.76394,-91.2412,18.5522,-8.005,6.10676,-17.9662,10.062,-25.3822,-20.719,
12,68.9566,7.05893,-22.6356,-55.8458,-60.7044,-12.7598,30.0089,52.1958,5.97857,-63.8783,-95.0438,-82.5983,45.9456,-44.3464,29.1788,91.7478,-63.8478,47.7889,-70.3909,27.1645,
13,21.8543,39.1339,20.4627,4.22682,26.0781,-56.0778,62.9505,-39.3902,-88.3908,-87.0724,-91.1802,15.7872,-52.4033,40.3119,77.2149,-86.108,-96.82,-79.8151,-12.7293,99.0783,
